API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123404000000,BERNHARDT,6K-323,PDC ENERGY,WATTENBERG,NIOBRARA,11787.0,7089.0,H,7571.0,11787.0,4216.0,4083.3,1.0,132692.0,469147.0,54501.0,52700.0,2015-07-01,04N,66W,04N66W,Weld
5123404010000,BERNHARDT,6K-403,PDC ENERGY,WATTENBERG,CODELL,11821.0,7172.0,H,7634.0,11821.0,4187.0,4061.27,3.0,165475.0,592675.0,66696.0,61219.0,2015-07-01,04N,66W,04N66W,Weld
5123404060000,COBRA,30C-14HZ,ANADARKO,WATTENBERG,CODELL,13583.0,7563.49,H,8527.0,13506.0,4979.0,8133.94,1.0,208293.0,670161.0,96600.0,52465.0,2015-07-01,02N,67W,02N67W,Weld
5123404070000,COBRA,4N-14HZ,ANADARKO,WATTENBERG,NIOBRARA,13411.0,7336.0,H,8281.0,13323.0,5042.0,8158.46,1.0,240524.0,869414.0,95622.0,60374.0,2015-07-01,02N,67W,02N67W,Weld
5123404110000,RAZOR,29F-2007,WHITING O&G,WILDCAT,NIOBRARA,12644.0,5782.0,H,,,,7395.85,1.0,87624.0,117303.0,68073.0,27765.0,2015-10-01,10+N,58W,10+N58W,Weld
5123404180000,HONEBEIN,7K-323,PDC ENERGY,WATTENBERG,NIOBRARA,14142.0,7010.0,H,7501.0,14072.0,6571.0,7126.73,1.0,199075.0,665140.0,88218.0,75561.0,2016-02-01,04N,64W,04N64W,Weld
5123404190000,BRENIMAN,7,EXTRACTION O&G,WATTENBERG,NIOBRARA,17424.0,6790.0,H,,,,11764.12,1.0,151729.0,268672.0,106950.0,65111.0,2017-02-01,06N,67W,06N67W,Weld
5123404200000,BRENIMAN,6,EXTRACTION O&G,WATTENBERG,CODELL,17730.0,7115.0,H,,,,11771.05,1.0,165765.0,287329.0,117877.0,81597.0,2017-02-01,06N,67W,06N67W,Weld
5123404210000,BRENIMAN,8,EXTRACTION O&G,WATTENBERG,NIOBRARA,16784.0,6790.0,H,,,,11772.41,1.0,147122.0,234854.0,107980.0,70682.0,2017-02-01,06N,67W,06N67W,Weld
5123404220000,BRENIMAN,3,EXTRACTION O&G,WATTENBERG,CODELL,17711.0,7115.0,H,,,,11800.65,1.0,158031.0,230990.0,119533.0,76178.0,2017-02-01,06N,67W,06N67W,Weld
