APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
33061028910000,0,1,0,0.0,9276.36,100.95406481094469,2444.7275235139696,57656.17,1001.515280592318,1,0,0
33061028920000,0,1,0,0.0,9287.16,97.78063817470421,2306.627754574077,65025.67,996.918031952799,1,0,0
33061028930000,0,1,1,1.0,10351.31,118.17302230988435,1463.0474026025076,59097.0,219.74682774825698,0,0,1
33061028940000,0,1,1,1.0,10214.13,118.10848065169758,1421.6212634615986,90854.33,207.80409280370566,0,0,1
33061028950000,0,1,1,1.0,10339.74,118.0856180991251,1449.0857779766081,65970.83,216.03079708050214,0,0,1
33061028960000,0,1,1,1.0,10213.36,118.1177937562856,1718.3760715649087,81205.33,303.5459750493792,0,0,1
33061028970000,0,1,1,1.0,10334.67,118.21063066345776,1437.1601289838986,35165.67,211.84584892437658,0,0,1
33061028980000,0,1,1,1.0,10319.91,98.58358484987458,1281.15040220075,50798.67,298.7171799949303,1,0,0
33061028990000,0,1,1,1.0,9952.59,113.56757108370515,2817.6052208504616,41114.67,915.3030350496427,0,0,1
33061029000000,0,1,1,1.0,10330.85,124.75445163140441,1427.161219692626,69895.5,179.61737159992802,0,0,1
33061029010000,0,1,1,1.0,10470.48,123.91090832470086,1446.150333639418,35651.0,187.90483847794758,0,0,1
33061029020000,0,1,1,1.0,10338.14,123.08518676856457,1425.432169818807,43285.0,185.96717253737248,0,0,1
33061029030000,0,1,1,1.0,10456.36,122.26472591002043,1456.7986379409983,38218.17,197.88749700517673,0,0,1
33061029040000,0,1,1,1.0,8986.41,96.5973250243112,1367.3938593966986,35359.67,366.1204132226738,1,0,0
33061029050000,0,1,1,1.0,9004.27,97.20130246993824,1348.6765253424203,52958.33,348.18556782127627,1,0,0
33061029060000,0,1,1,1.0,10376.11,119.43903550285569,3943.0888631379344,46185.17,1548.352284404832,0,0,1
33061029070000,0,1,1,1.0,10648.14,119.44451934623213,2066.966096343184,85113.0,425.40902879164423,0,0,1
33061029080000,0,1,1,1.0,10650.45,119.17748613665428,1819.902255194185,88802.0,331.8947629530303,0,0,1
33061029090000,0,1,1,1.0,10763.8,119.10929099718636,2067.2547262654816,74969.17,428.9434457933616,0,0,1
